Contour;Number ULD;ULD Final Destination;Weight (KGS);Pieces;Notes;Pallet Base Size;Baseplate Code;Posiciones Sugeridas;Posición Asignada;X-arm;Y-arm;Momento X;Momento Y;Bodega;Rotated
52-53;BULK;MIA;1210,0;213,0;PEF-MIX-DRY-DGD-UN-(3480);Desconocido;?;['52-53'];52;47.957;0.0;58027.97;0.0;BULK;False
MPR;PAJ206196R;MIA;1705,0;390,0;PEF ;88x125;A;['MPR'];MPR;41.864;1.232;71378.12;2100.56;MD;False
PRL;PAJ208736R;MIA;1743,0;283,0;PEF-SUNBURST;88x125;A;['PRL'];PRL;45.09;-1.13;78591.87;-1969.59;MD;False
MPL;PAJ59010QT;MIA;1890,0;297,0;PEF ;88x125;A;['MPL'];MPL;41.864;-1.232;79122.96;-2328.48;MD;False
ABR;PAJ59524QT;MIA;1396,0;323,0;DRY;88x125;A;['ABR'];ABR;16.235;1.232;22664.06;1719.872;MD;False
PRR;PAJ59713QT;MIA;1530,0;383,0;PEF ;88x125;A;['PRR'];PRR;45.09;1.13;68987.7;1728.9;MD;False
11;PLA64125QT;MIA;1055,0;171,0;PEF-SUNBURST;88x125;A;['11'];11;15.433;0.0;16281.815;0.0;LDF;False
FHR;PMC390486R;MIA;1560,0;274,0;PEF ;96x125;M;['FHR'];FHR;29.037;1.232;45297.72;1921.92;MD;False
42P;PMC40730QT;MIA;1480,0;293,0;PEF-PPQ;96x125;M;['42P'];42P;45.36;0.0;67132.8;0.0;LDA;False
KML;PMC40753QT;MIA;1688,0;287,0;PEF ;96x125;M;['KML'];KML;38.638;-1.232;65220.944;-2079.616;MD;False
41P;PMC41182QT;MIA;1397,0;280,0;PEF-SUNBURST;96x125;M;['41P'];41P;43.1;0.0;60210.7;0.0;LDA;False
TT;PMC41621QT;MIA;1841,0;363,0;PEF ;96x125;M;['TT'];TT;52.849;0.0;97295.009;0.0;MD;False
BCL;PMC41809QT;MIA;668,0;95,0;DRY;96x125;M;['BCL'];BCL;19.436;-1.232;12983.248;-822.976;MD;False
CEL;PMC41994QT;MIA;1580,0;334,0;PEF ;96x125;M;['CEL'];CEL;22.636;-1.232;35764.88;-1946.56;MD;False
RR;PMC42277QT;MIA;2296,0;150,0;PEF ;96x125;M;['RR'];RR;47.922;0.0;110028.912;0.0;MD;False
JKL;PMC42526QT;MIA;1781,0;160,0;DRY;96x125;M;['JKL'];JKL;35.438;-1.232;63115.078;-2194.192;MD;False
HJL;PMC42632QT;MIA;1300,0;87,0;DRY;96x125;M;['HJL'];HJL;32.237;-1.232;41908.1;-1601.6;MD;False
FHL;PMC42728QT;MIA;1373,0;307,0;PEF ;96x125;M;['FHL'];FHL;29.037;-1.232;39867.801;-1691.536;MD;False
CER;PMC42873QT;MIA;1250,0;296,0;PEF ;96x125;M;['CER'];CER;22.636;1.232;28295.0;1540.0;MD;False
31P;PMC42879QT;MIA;1495,0;205,0;PEF ;96x125;M;['31P'];31P;37.958;0.0;56747.21;0.0;LDA;False
22P;PMC42892QT;MIA;1500,0;393,0;PEF ;96x125;M;['22P'];22P;24.937;0.0;37405.5;0.0;LDF;False
SS;PMC43262QT;MIA;1905,0;437,0;PEF ;96x125;M;['SS'];SS;50.385;0.0;95983.425;0.0;MD;False
HJR;PMC43540QT;MIA;758,0;134,0;DRY;96x125;M;['HJR'];HJR;32.237;1.232;24435.646;933.856;MD;False
21P;PMC43510QT;MIA;1412,0;219,0;PEF-SUNBURST;96x125;M;['21P'];21P;22.473;0.0;31731.876;0.0;LDF;False
13P;PMC43543QT;MIA;1500,0;272,0;PEF ;96x125;M;['13P'];13P;20.01;0.0;30015.0;0.0;LDF;False
ABL;PMC43866QT;MIA;712,0;135,0;DRY;96x125;M;['ABL'];ABL;16.235;-1.232;11559.32;-877.184;MD;False
JKR;PMC43885QT;MIA;1649,0;280,0;DRY;96x125;M;['JKR'];JKR;35.438;1.232;58437.262;2031.568;MD;False
KMR;PMC43959QT;MIA;1531,0;240,0;PEF ;96x125;M;['KMR'];KMR;38.638;1.232;59154.778;1886.192;MD;False
12P;PMC44030QT;MIA;1580,0;333,0;PEF ;96x125;M;['12P'];12P;17.546;0.0;27722.68;0.0;LDF;False
32P;PMC44152QT;MIA;1365,0;212,0;PEF-SUNBURST;96x125;M;['32P'];32P;40.421;0.0;55174.665;0.0;LDA;False
BCR;PMC44176QT;MIA;700,0;127,0;DRY;96x125;M;['BCR'];BCR;19.436;1.232;13605.2;862.4;MD;False
EF;PMH37024QT;MIA;5210,0;1,0;ENGINE-UN-(3528);96x125;M;['EF'];EF;25.836;0.0;134605.56;0.0;MD;False

Descripción;Valor;Unidad
Peso Total Carga;50060,0;kg
ZFW;160570,0;kg
TOW;188370,0;kg
MROW;188570,0;kg
LW;168370,0;kg
Lateral Imbalance;786,4660000000009;
Max Payload MLW;63690,0;kg
Max Payload MTOW;94690,0;kg
Max Payload MZFW;59490,0;kg
Underload;9430,0;kg
Pitch Trim;6,25;

Posición Asignada;Región;Order;Peso Acumulativo (kg);Máximo Permitido (kg);Cumple
52;AFT;73;4956.0;9465;Sí
MPR;AFT;57;16997.0;23746;Sí
PRL;AFT;65;12005.0;15398;Sí
MPL;AFT;57;16997.0;23746;Sí
ABR;FWD;4;3163.0;5149;Sí
PRR;AFT;65;12005.0;15398;Sí
11;FWD;1;1055.0;4015;Sí
FHR;Excluida;-;-;-;N/A
42P;AFT;66;8732.0;14763;Sí
KML;AFT;49;21581.0;31091;Sí
41P;AFT;62;13402.0;20742;Sí
TT;AFT;78;1841.0;2811;Sí
BCL;FWD;10;6111.0;10327;Sí
CEL;FWD;19;11853.0;17631;Sí
RR;AFT;72;7252.0;9524;Sí
JKL;AFT;40;26506.0;37521;Sí
HJL;Excluida;-;-;-;N/A
FHL;Excluida;-;-;-;N/A
CER;FWD;19;11853.0;17631;Sí
31P;AFT;46;23076.0;32713;Sí
22P;FWD;25;13353.0;23706;Sí
SS;AFT;76;3746.0;5341;Sí
HJR;Excluida;-;-;-;N/A
21P;FWD;16;9023.0;17196;Sí
13P;FWD;11;7611.0;11343;Sí
ABL;FWD;4;3163.0;5149;Sí
JKR;AFT;40;26506.0;37521;Sí
KMR;AFT;49;21581.0;31091;Sí
12P;FWD;6;4743.0;7105;Sí
32P;AFT;52;18362.0;27135;Sí
BCR;FWD;10;6111.0;10327;Sí
EF;FWD;28;18563.0;25717;Sí
